post date	Summary and Description	post number
2023-10-10T17:32:52Z	"Midterm 1 UPDATED P4 and P5 Grades Problems 4 and 5 have been regraded with revised graders that correct some deficiencies in the original grading.  The new grading reports and updated SUMMARY are in your handback directories.

For problem 4:
The grader now allows the helper function to precede the primary function. That’s not the way our style would normally do it, but it can be reasonable so we allowed it.The grader no longer requires the thoroughness criteria for the helper function to be achieved in the primary function tests.  Only the helper function tests must be called with enough gifts (4) to have 2 balls and 2 blocks
 
For problem 5:
The 5 grader now works properly for cases where the check-expects include floating point numbers. This required relaxing validity requirements and thoroughness testing both.The grader accepts 3 combinations of Integer and Number in the signature.

The new stats for the exam as a whole are:
ProblemP1P2P3P4P5TotalMedian8010010096100-Mean778992739184.4"	799
2023-10-10T17:24:24Z	"Midterm 1 Grades &amp; Info We have tried to get midterm 1 grades back to you as quickly as possible so that all of you have feedback, and some of you who may need to do some review before next week have time to do this weekend.
 
Please respect the time of everyone on Piazza and read this entire message thoroughly before asking any questions about midterm grading. Questions about midterm grading must be asked as a follow up to this post and, to minimize clutter in the thread, questions that are answered by this post may be deleted rather than replied to. 

Overall, the class did very well, which is typical of midterm 1. We were pleased to see that very few students submitted files with errors that prevented them from being graded, this is a welcome change from prior terms.
 There are several sections below, including: 
StatisticsFeedback on individual problemsWhat getting a low-grade meansViewing your examRegrade requests 


Statistics 
ProblemP1P2P3P4P5TotalWeight1515202525100Median8010010094100-Mean778992729184.05


Feedback on Individual Problems 
Problem 1 
This problem assessed your understanding of the technical terminology used in the course. Knowing proper technical terminology is important as we go forward because as we talk about more complex programs and understanding what we are saying will depend on knowing the terminology. 
 
If you did not do well on this question, please review the course glossary, which is linked from the links page https://cs110.students.cs.ubc.ca/admin/links.html 
 
Problem 2 
This problem assessed your understanding of the step-by-step evaluation rules. 
The most common mistakes were: 
Skipping a step Replacing constant names with values all at once rather than when evaluation reaches the constant name. Not replacing parameters with values all at once. 

If you did not do well on this question, please review the step-by-step evaluation rules. You can find them on the language page, by following the link on the links page https://cs110.students.cs.ubc.ca/admin/links.html. As we write more complex programs it will be critical that you understand exactly how evaluation works in order to understand some of the key techniques we will use. 
 
Problem 3 
This problem assessed your understanding of how to construct data driven templates using the dd template rules. This material is critical because you will soon need to be able to construct these templates in a more on-the-fly fashion. 
Some mistakes we saw were: 
Not following the order of the type comment Not guarding the two calls to string=? Not having the right number of arguments to string=? Not using else as the last answer Adding extra cond cases. 
If you did not do well on this question, please review the dd-templates part of the full Design Recipes (not just the checklist). 
 
Problem 4 
This problem assessed your understanding of using the HtDF recipe, working with multiple data definitions, and following the reference rule to design a helper function. 
 
There was confusion here caused by inconsistencies in the order of width, length, and height. That was our mistake, and we apologize for it. To handle that, we carefully designed the grader to accept as correct any Dimension that included all the correct numbers. It did not matter what order width, length, and height were in, and it did not matter if the orders got scrambled up between the various kinds of gifts and the dimensions. As long as the right three numbers made it into the Dimension we took the answer as correct. With this change in place we were happy to see that the class did very well on this problem. 
 
The most common mistakes were: 
Failing to use a helper function Errors in the signature of the main or helper function. Not having sufficiently thorough tests by making sure that there was more than one ball and more than one block in the tests. 
 
If you did not do well on this question, please very carefully review the raining eggs lecture problem. You should also take the exam problem you submitted to office hours as soon as possible. This problem is probably the most indicative in terms of your readines for the upcoming modules. It is very important you master this material right away; before Tuesday’s lecture if possible. 
 
Problem 5 
This problem assessed your understanding of using the HtDF recipe on a list of atomic data. There was an unintended bit of trickiness in this problem which is that odd? raises an error if it is called on a non-integer. With that in mind we accepted all the following signatures for the function:  
(@signature ListOfNumber -&gt; Number) 
(@signature ListOfNumber -&gt; Integer) 
(@signature ListOfInteger -&gt; Integer) 
 
The class did very well ... 
If you did not do well on this question, please review the module 4a lecture starters right away, and reach out for help on Piazza or office hours right away. We will be using lists and recursion in most problems the rest of the term, so you need to be completely comfortable with this material. 
 
 
What Getting a Low Grade Means 
It is important to keep in mind that the course is about to pick up in both speed and complexity. Please take the feedback you are receiving from this exam as useful information going into the rest of the course.  
 
70 - 80 Spend time carefully reviewing the exam and working through problems to correct the misconceptions you demonstrated. 
 
60 - 70 We encourage you to attend TA or instructor office hours as soon as you can this coming week. At these office hours ask the course staff to review your exam and your work to date. They will be able to help you develop a plan for getting caught up. You have to work at least 2 hours extra each day this week to get caught up.  
 
For grades below 60, a great deal of work will be required during the next week to succeed in the remainder of the course. Please do not wait to get help, instead reach out to the instructor or on Piazza ASAP so we can help you plan. 

Viewing Your Exam  
The auto-graded exams are now available in your handback directory. There is also a summary report in the SUMMARY folder in your handback directory. 

Regrade Requests 
We will share another announcement on Piazza about regrade requests shortly. Do not contact the course team via email or post on Piazza about regrade requests until we make that post. All messages and posts about regrading that are sent before our announcement will be deleted."	795
2023-10-04T22:57:39Z	"update to spd.plt update Some people who performed the required update of the spd.plt plug-in have been experiencing errors that say:

 application: not a procedure expected a procedure that can be applied to arguments ...
If you have this problem please re-install the plug-in now.  We have fixed the problem.

(Testing code that ends up running on multiple different platforms is hard!)"	726
2023-10-03T22:04:29Z	"Gregor&#39;s office hours My office hours this Wednesday will be:

12-2 in ICCS 246
2-3 in ICCS 146"	675
2023-10-02T20:57:22Z	"spd.plt plugin update required to fix confusing error message IMPORTANT - you will not be able to handin until you read this message and follow the instructions in it.

There&#39;s a bug in the current spd.plt file that causes it to give a very confusing error message for malformed signatures like (@signature Foo -&gt;Bar) or (@signature Foo Bar).  The message is confusing enough that we want to fix this before the midterm.   We don&#39;t want anyone to get this very confusing error message during the exam, because we will not be able to help you then.

To this end, there is a new spd.plt plugin that fixes this error.  If you go to


  File menu &gt;  Install PLT file &gt;    select web    insert this url    https://cs110.students.cs.ubc.ca/spd.plt    press OK    WAIT till the setup completes    and then restart Dr Racket


you will be all set.

NOTE that starting about 2pm, the handin server will no longer accept handins unless you have already updated the spd.plt plugin.

We apologize for the small inconvenience of having to update the server, but we think the more clear error message is worth it."	632
2023-09-29T22:31:04Z	"Lab Fine Tuning You may have noticed that myself and some of our most senior TAs have been dropping in on lab lately. We are not there to check up on you; we are not there to check up on the TAs either. Instead, we are there because we are always monitoring different aspects of the course to see how they are going and how they might be improved.  Labs are a special focus for us because they are the place where you can get the most one-on-one contact with course staff.  Based on our visits, we want to make some changes that will mean the TAs can spend more time giving you direct feedback on your lab work.  With that goal in mind, you can expect to see some changes in how labs operate, starting as soon as today.
Long problem set assessments will move more quickly.  The TAs will be asking the next person in line to be ready and waiting to start. They will also be conducting the assessment itself more quickly.  We have asked them to ask you the questions, assess your answers, and give you very brief feedback on the assessment.  If you have further questions you want to ask about the problem set please take those to office hours. We anticipate this will free up about 45 minutes of TA time to help with your lab work.Short problem set assessments will also move more quickly.  Instead of coming around to you TAs will also call your name out. They will go in a set order so you can know when your turn is coming up.  Please go to the TA quickly.  Expect them to ask you one question, ask for an answer, and record their assessment. Again, they will briefly tell you the assessment, but that will not be a time to discuss the problem set.  We expect this will also free up significant TA time to help with your lab.Finally, the way the TAs walk around the room will change.  They will move through the room in order, asking to see parts of your work, making suggestions, and asking you questions about it. They will not be responding to questions with raised hands. Instead, when you have a problem we want you to practice working it out yourself just as you on a problem set or exam.  The next time they get to your seat they may make a suggestion that will help you find the problem.We know you may prefer to have the TA spend extended time with you solving a problem you are having. But the goal we have set for the TAs is not to help you finish the lab, it is to help you do well on the final exam. To do that you need them to help you learn to work systematically, and learn the techniques that can help you solve problems on your own – it is not good for your learning for the TAs to dig deeply into debugging your designs.
 We know from experience that it will help your learning if the TAs can make more frequent suggestions about how you are working. We hope that these adjustments we are making will help with that.  Please let us know over the next few weeks how you think it is going. "	551
2023-09-28T04:49:45Z	"Problem Set 4 Questions This thread is the only place you are permitted to ask questions about problem set 4.

NOTE that you are only permitted to ask questions that seek to clarify the problem description, or in cases of supposed errors with the starter.  Other questions will be deleted.

Students should not answer other student&#39;s questions about problem sets."	510
2023-09-27T16:43:50Z	Switching to iClicker Cloud THIS MESSAGE IS IMPORTANT AND TIME CRITICAL.We are always trying to simplify the 110 learning platform with the goal of making things easier for students.This term we tried to use Zoom polls because we thought that since you were already using Zoom, it would be one less platform for you to have to login to.We tried to make that work.  Specifically Emily tried really really hard.But to say it hasn&#39;t worked out well is an understatement.So, at this point we are switching gears and going back to iClicker.WHAT THIS MEANS IS THAT:  - We will do iClicker polls on Thursday &#34;for practice&#34;  - We will do iClicker polls that count for course marks next Tuesday.Please consult https://lthub.ubc.ca/guides/iclicker-cloud-student-guide/which explains what you have to do in order to answer iClicker polls.NOTE - please DO THE ABOVE TODAY OR TOMORROW, so that you are ready for Thursday&#39;s practice run.  If you fail to try and set things up for Thursday and then have problems on Tuesday we will not be able to grant concession for those problems.	505
2023-09-26T20:08:15Z	Lecture Zoom Polls Please stop flooding Piazza with posts about the lecture Zoom polls. The course team is aware of the issues and continuing to post about it will not help solve the issues. Lectures that are impacted by UBC-wide outages technical issues will of course not be counted towards your grade. Please be patient for now while we figure out the best course of action. 	494
2023-09-30T01:56:37Z	"Lab 4 and Lab 5 Schedule Reminder During the 2023W1 term, statutory holidays have created an imbalance in the numbers of days available for classes on each weekday, with Mondays disproportionately affected. Please review the notes below that outline how this impacts CPSC 110&#39;s lab schedule. You can find the times and locations of lab sections on the SSC Course Schedule. Note: &#34;Blocked&#34; sessions do not actually have a lab available. 

Lab 4: Due to National Day for Truth and Reconciliation (NDTR) on Monday, October 2, UBC is closed and there are no classes. Monday lab students should attend any lab section on the days below to complete Lab 4.
Wednesday, September 27Thursday, September 28Friday, September 29Tuesday, October 3

Lab 5: Due to Thanksgiving on Monday, October 9, the UBC Vancouver Senate has designated Thursday, October 12 as a &#39;Make-Up Monday.&#39; All classes normally scheduled for Thursday, October 12 are cancelled and replaced by classes that are normally scheduled for a Monday. For CPSC 110, this means that Monday lab students will complete Lab 5 on Thursday, October 12, and Thursday lab students should attend any lab section on the days below to complete Lab 5.
Tuesday, October 10Wednesday, October 11Friday, October 13

Clarification: SSC lab sections marked Blocked do not have any lab running at that time. Do not try to attend one of these sections. "	478
2023-09-23T19:34:33Z	"UBC Zoom Account - Update Hello everyone, thank you for your patience while we worked with UBC AV services to get your UBC Zoom accounts set up. Normally we woulnd&#39;t post an announcement over the weekend, but we wanted to let you know to give you as much time as possible to setup things up for lecture on Tuesday. 

By now you should have received an email at your CWL@student.ubc.ca email address with a link to &#34;approve the request&#34; for your UBC Zoom account. Please approve the request. Then you will need to ensure that your CWL@student.ubc.ca email address is your default email address in Canvas following these instructions. Please note that in order to receive your lecture grades starting Tuesday, your CWL@student.ubc.ca email address must be your default email address in Canvas AND you must join the lecture Zoom session through the Zoom tab in Canvas. 

If you did not receive a message with a link to &#34;approve the request&#34; for your UBC Zoom account at your CWL@student.ubc.ca email address, please let us know using this form. Make sure to check your spam/junk folder or any forwarding addresses before submitting a form. "	446
2023-09-23T05:12:46Z	"Midterm 1 Instructions &amp; Conflicts Please take the time to read the CPSC 110 Midterm 1 Instructions very carefully, as they are essential in helping you prepare for the exam and you are responsible for knowing their content. If you have a question about the exam, you must ask it as a follow-up to this announcement. You should also bookmark the exam instructions page now, as access to all content on Piazza will be blocked 1 hour before the exam.

Please note that the midterm times have been rescheduled from 6:00-8:00 PM to 7:00-9:00 PM due to limited exam room space on campus. If you submitted a conflict form for either of the midterms and no longer have a conflict due to the time change, your conflict form submission has been deleted and you do not need to do anything other than attend the exam at the regularly scheduled time.

You must complete the CPSC 110 Midterm 1 Conflict Form before 11:59 PM PST on Monday, September 25 if you require academic concession to write Midterm 1 at an alternate time due to conflicting responsibilities, medical circumstances, or compassionate grounds. See UBC&#39;s policy on academic concession for examples and exceptions. Do not submit a conflict form if your CPSC 110 lab conflicts with the exam time as there are no CPSC 110 labs scheduled on the day of the exam.

Students who are registered with the Centre for Accessibility must register through the CFA exam portal at least 1 week before the exam to receive exam accommodations. Because the CFA exam centre closes at 9:30 PM, students who register to write their exam at the CFA exam centre will write their exam from 5:00-7:00 PM on Friday, October 6 (with any applicable extended time accommodations applied)."	425
2023-09-20T22:14:49Z	Problem Set 3 Questions This thread is the only place you are permitted to ask questions about problem set 3.	404
2023-09-20T18:16:31Z	Problem Set 2 Questions This thread is the only place you are permitted to ask questions about problem set 2. Not office hours, not TA hours, not lab, not other Piazza threads. All questions have to be here, so that every student has an equal chance of seeing them.	306
2023-09-12T16:08:28Z	"Piazza Etiquette Piazza is a great resource for you to ask questions about the course material, structure, policies, etc. and the course team is looking forward to answering your questions this term. Piazza also provides an opportunity for those of you who want to improve your learning by answering other students&#39; questions. Observing how well students ask and answer questions on Piazza helps the course team choose TAs for future terms.
 
Please keep in mind that there are 1,300&#43; of us asking and answering questions on Piazza. The volume of questions adds up quickly and we&#39;d like to avoid duplicate questions as much as possible. You should always check the syllabus, the schedule, and make use of Piazza&#39;s search function before asking a question. If you have a question about a specific DrRacket function (e.g. overlay), please look it up in the DrRacket help desk before posting on Piazza.
 
Guidelines you must follow when posting on Piazza:
Do not post screenshots of text or code. This includes program text and auto-grader feedback. Do not post an image of it, do not post a link to it, do not post the section number it came from. Post the actual text together with any other information the person answering the question might need. By posting the actual program text you make it easy for someone who wants to answer your question to quickly copy it, paste it into DrRacket, and work on it. By posting the extra information you save the person answering from having to go find what you already have right in front of you.Format code properly. In the Piazza editor there is a button labeled &#34;code.&#34; If you press that button and then paste your code into the editor, it should be formatted properly. You may need to clean up the indentation though, and if so then please take the time to do it.Take the time to say what you have done so far and what your current understanding is. Often times you will find that the act of writing that out will clarify things for you, and then you have your answer right away without having to wait. This also provides a good foundation for figuring things out in exams when there is no help. But even if explaining your current understanding doesn&#39;t clear things up right away, it will provide a better foundation for us to answer your question, and a better foundation for you to incorporate the answer.
 
Again, we encourage you to use Piazza as your go to resource for getting answers to your questions about the course. Just take a few moments each time you post to invest in good karma by formatting and asking your question in a way that makes it clear to everyone reading it."	215
2023-09-11T22:28:52Z	"Reminder: Mandatory Academic Integrity Quiz Thank you to the 820 of you who have have completed the academic integrity quiz with a grade of 100%! 

For those of you who haven&#39;t completed the quiz with a grade of 100% yet, the deadline is 10:00 PM tomorrow (Tuesday, September 12). Final grades for Lab 1 will be posted on Canvas on Wednesday this week, however, please note that students who have not completed the quiz will not receive any grades on Canvas until they complete the quiz with a grade of 100%.

"	202
2023-09-14T16:33:36Z	"Problem Set 1 Questions This thread is the only place you are permitted to ask questions about problem set 1.  Not office hours, not TA hours, not lab, not other Piazza threads.  All questions have to be here, so that every student has an equal chance of seeing them.

But note what we said in lecture.  We are going to answer most questions with suggestions about how you could figure it out.

"	169
2023-09-07T19:52:08Z	UBC Zoom Account For now please join lectures using any Zoom account. We will post another announcement with instructions about your UBC Zoom account once your accounts are set up. 	106
2023-09-07T03:21:58Z	"Please Do Not Contact the Course Team About Lab Registration Gregor and I have been receiving a large number of emails from students who aren&#39;t registered in a lab section yet. Instructions on what to do in this situation are outlined in the FAQ section of the syllabus.

As specified in the instructions, students should not contact the Course Coordinator until 2 business days before the add/drop deadline if they still don&#39;t have a registered lab section at that time. To resolve any possible confusion, 2 business days before the add/drop deadline is Thursday, September 14. 

Please respect our time by reading the entire syllabus, especially the FAQ section, before emailing us. There are 1,300&#43; students in this course and it is simply not feasible for us to answer the same question over and over again. Questions that are answered in the syllabus are not garanteed a response. "	58
2023-12-12T23:05:28Z	"is this tail recursion? 
(@problem 1)
;; Design a function called average that consumes (listof Number) and produces
;; the average of the numbers in the list.

(@htdf average)
(@signature (listof Number) -&gt; Number)
;; produces the average of the number in the list
(check-expect (average empty) 0)
(check-expect (average (list 1)) 1)
(check-expect (average (list 1 3)) 2)

;(define (average lon) 0) ;stub

(@template-origin (listof Number) accumulator)

(define (average lon0)
  (local [(define (fn-for-lon lon sum)
            (cond [(empty? lon) (/ sum (length lon0))]
                  [else
                   (fn-for-lon (rest lon) (&#43; (first lon) sum))]))]
    (cond [(empty? lon0) 0]
          [else
           (fn-for-lon lon0 0)])))
the cond at the end of the function body does not matter right?"	1662
2023-12-06T20:28:02Z	"what is the correct templating for accumulator problems I am confused on which template to use.

For example, we have a data definition called Graphs (which is an abr-tree)

which one of the templates should i be using?


(@template-origin Graphs genrec accumulators)

or

(@template-origin arb-tree genrec accumulators)
 MOREOVER!!
I am curious if  termination arguments and accumulator examples are mandatory when writing function definitions

Thanks!"	1491
2023-11-29T19:15:22Z	"Are we supposed to be able to access the result of ta-graded lab/pset? Are we supposed to be able to access the result of ta-graded lab/pset?

I checked on gradescope and canvas and couldn&#39;t find anywhere that has it."	1414
2023-10-14T06:20:03Z	Midterm 2 Math Time Conflict I was wondering whether it would be possible for me to attend an alternative lab for lab 9, as it conflicts with my math midterm. The syllabus explicitly states that there are no alternative midterms available.	826
2023-10-04T06:13:47Z	"2022 W1 MT1 P4 These are my functions: 

(define (delivery-weight n lop)  (cond [(empty? lop) 0]        [else         (&#43; (package-weight n (first lop))            (delivery-weight n (rest lop)))]))

(define (package-weight n p)  (if (and (pkg-fra? p) (&lt; (pkg-vol p) n))      (pkg-wei p)      0))

These are the solution file functions: 

(define (delivery-weight v lop)  (cond [(empty? lop) 0]        [else         (&#43; (if (fragile-and-volume&lt;? v (first lop))                (pkg-wei (first lop))                0)            (delivery-weight v (rest lop)))]))

(define (fragile-and-volume&lt;? v p)  (and (pkg-fra? p) (&lt; (pkg-vol p) v)))

My solution is different, but how is it incorrect? It passes all tests, including the ones used by the solution file. The autograder is giving me 0% for my natural recursion and natural helper and I don&#39;t understand why. "	702
